epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3046.61,0.87547,0.88263,1.18926,0.51999,0.50141,0.34597,0.23079,1.05371,1.15023,1.35132,0.00154982,0.00154982,0.00154982
77,3094.57,0.88126,0.88088,1.19867,0.53987,0.49515,0.34293,0.23117,1.02533,1.13966,1.32988,0.00144161,0.00144161,0.00144161
78,3147.05,0.8593,0.86133,1.1726,0.33455,0.51459,0.35001,0.23112,1.03469,1.14878,1.34465,0.00133695,0.00133695,0.00133695
79,3195.15,0.8688,0.8816,1.17955,0.49894,0.54954,0.35487,0.23766,1.01601,1.13628,1.33095,0.00123596,0.00123596,0.00123596
80,3243,0.85023,0.8513,1.16977,0.53755,0.50279,0.34383,0.23283,1.04585,1.14573,1.35588,0.00113873,0.00113873,0.00113873
81,3287.47,0.83393,0.85318,1.16301,0.52989,0.50451,0.38619,0.25911,1.025,1.16174,1.33263,0.00104537,0.00104537,0.00104537
82,3331.79,0.84966,0.86522,1.16978,0.32328,0.63771,0.36261,0.23127,1.02134,1.1573,1.33307,0.000955951,0.000955951,0.000955951
83,3377.42,0.8394,0.83219,1.16773,0.28434,0.58789,0.35181,0.23102,1.02161,1.1676,1.33547,0.000870577,0.000870577,0.000870577
84,3422.95,0.83279,0.83956,1.1558,0.51465,0.51419,0.3337,0.22688,1.00501,1.15572,1.31798,0.000789327,0.000789327,0.000789327
85,3468.76,0.83199,0.83637,1.16116,0.5229,0.5056,0.34121,0.23259,1.02123,1.15539,1.33052,0.000712282,0.000712282,0.000712282
86,3514.34,0.82417,0.83567,1.15624,0.52158,0.51767,0.35221,0.2396,1.01593,1.14436,1.3324,0.000639518,0.000639518,0.000639518
87,3559.46,0.82943,0.83623,1.15266,0.52257,0.51253,0.3556,0.23832,1.005,1.13258,1.3196,0.000571106,0.000571106,0.000571106
88,3600.49,0.81243,0.82249,1.14704,0.34767,0.64871,0.38188,0.25024,1.00576,1.14812,1.31814,0.000507115,0.000507115,0.000507115
89,3639.64,0.80504,0.82641,1.15106,0.3875,0.68618,0.38507,0.24842,1.00311,1.13402,1.31209,0.000447606,0.000447606,0.000447606
90,3680.81,0.82625,0.8299,1.16396,0.34237,0.6139,0.35741,0.23957,1.0018,1.13364,1.31549,0.00039264,0.00039264,0.00039264
91,3719.73,0.69912,0.75717,1.07847,0.51822,0.52713,0.34785,0.2349,1.01816,1.11087,1.33215,0.00034227,0.00034227,0.00034227
92,3756.91,0.70026,0.72554,1.07846,0.51879,0.52605,0.35048,0.2359,1.01238,1.11339,1.32429,0.000296546,0.000296546,0.000296546
93,3792.63,0.69306,0.70644,1.08684,0.52814,0.52753,0.35689,0.24049,1.00911,1.11104,1.32346,0.000255513,0.000255513,0.000255513
94,3829.97,0.68466,0.69829,1.07831,0.52567,0.53153,0.37213,0.24653,1.00028,1.10439,1.31985,0.000219212,0.000219212,0.000219212
95,3866.87,0.67812,0.70492,1.07983,0.52078,0.53336,0.37246,0.25303,0.98904,1.09816,1.31167,0.000187678,0.000187678,0.000187678
96,3905.46,0.6698,0.71044,1.07101,0.30158,0.6282,0.36918,0.25037,0.99027,1.10337,1.31216,0.000160943,0.000160943,0.000160943
97,3942.72,0.67861,0.70017,1.07029,0.326,0.65595,0.36383,0.24903,0.99106,1.09912,1.31539,0.000139032,0.000139032,0.000139032
98,3981.19,0.67001,0.69562,1.06543,0.32371,0.64648,0.36812,0.25107,0.99256,1.10318,1.31751,0.000121968,0.000121968,0.000121968
99,4022.93,0.67979,0.70766,1.06499,0.30696,0.62698,0.37273,0.25478,0.99328,1.09889,1.32052,0.000109768,0.000109768,0.000109768
100,4059.66,0.66206,0.70468,1.06092,0.33117,0.65236,0.3662,0.25069,0.98979,1.10166,1.31692,0.000102443,0.000102443,0.000102443
